,gas,carrier,rep_id,PC1,PC2
0,CO,N2_dry,0,1.03315581530283,0.0838186572937235
1,CO,N2_dry,1,1.0316162468473098,0.08292752340990714
0,CO,N2_humid,0,0.9908674329776841,0.05764039380247075
2,CO,air_dry,0,1.0271923214234655,0.07428878130198323
3,H2S,N2_dry,0,-2.8921146745405277,-1.0656170828596219
4,H2S,N2_dry,1,-3.0767092966465364,-1.1722367501409081
5,H2S,N2_dry,2,-2.6967677571101323,-0.9026121840783567
1,H2S,N2_humid,0,-3.455428630007075,-0.8055584300708659
2,H2S,N2_humid,1,-3.5552878326348525,-1.0026037187373962
3,H2S,N2_humid,2,-4.075707953851692,-0.9110701136195741
4,H2S,N2_humid,3,-3.7131687482271505,-0.7938301524935346
6,H2S,air_dry,0,-3.0636353139031933,-0.7147118975341309
7,H2S,air_dry,1,-3.029634889505863,-0.5180286239277408
8,H2S,air_dry,2,-3.4163486989265865,-0.553659978438046
5,H2S,air_humid,0,-2.947940003682809,-0.5436189775819471
6,H2S,air_humid,1,-3.1473323353085476,-0.5987348460546992
7,H2S,air_humid,2,-3.3363505192711265,-0.7077092188868488
9,NH3,N2_dry,0,-1.3282570705640044,1.1326510888563335
10,NH3,N2_dry,1,-1.3715039256049326,1.0624375032057016
11,NH3,N2_dry,2,-1.3656217274728677,0.8193171031666724
8,NH3,N2_humid,0,-1.4092529593466663,1.072682093795124
9,NH3,N2_humid,1,-1.404519409058335,0.950090648757936
10,NH3,N2_humid,2,-1.4269341088870904,0.9432240908912533
11,NH3,N2_humid,3,-1.4637693384645762,1.0312241507689706
12,NH3,air_dry,0,-1.8373595897801234,1.2127630435714738
13,NH3,air_dry,1,-1.8883376677008579,1.3198119451214743
14,NH3,air_dry,2,-1.2893582879065475,0.7839034093828154
12,NH3,air_humid,0,-1.5991835373285446,0.4815691287530441
13,NH3,air_humid,1,-1.301733607402773,0.43162930079589723
14,NH3,air_humid,2,-1.720602708784461,0.5002521662441163
15,NO,N2_dry,0,4.63684324107272,0.5239672120092704
16,NO,N2_dry,1,4.37332828493103,0.2046780042946714
17,NO,N2_dry,2,4.321622998193516,0.06008907644618965
15,NO,N2_humid,0,5.181059158793482,1.0520659633106075
16,NO,N2_humid,1,5.2419282192543895,1.1110505796348389
17,NO,N2_humid,2,6.223665660845,1.929169091808373
18,NO,N2_humid,3,6.015812886429584,1.456563777018241
18,NO,air_dry,0,3.6715824689285994,-0.8602108630943527
19,NO,air_dry,1,3.566180268922048,-0.7041366526107736
20,NO,air_dry,2,3.5941272540406564,-0.8694393153762857
19,NO,air_humid,0,3.818267353935853,0.297054165151503
20,NO,air_humid,1,4.221190032210392,0.5065228407007253
21,NO,air_humid,2,3.935116138520759,-0.07448715755419752
22,NO,air_humid,3,3.8578140914788115,-0.1269319355332797
