,cof,gas,carrier,ppm,rep_id,slope,saturation,auc
0,Ni-COF-DC-8,CO,air_dry,80,0,-0.17095175051774364,-0.7832633823466479,-0.8029776490937115
1,Ni-COF-DC-8,CO,N2_humid,80,0,-0.16335586975179942,-0.7154354669835934,-0.7244533470707823
2,Co-COF-DC-8,CO,air_dry,80,0,-0.16758198545749375,-0.7686604812192772,-0.7873483240145871
3,Co-COF-DC-8,CO,air_humid,80,0,-0.16421314262350337,-0.797703162014298,-0.8042590625494985
4,Co-COF-DC-8,CO,air_humid,80,1,-0.16726064372725488,-0.7945892843093035,-0.8030632420668634
5,Co-COF-DC-8,CO,air_humid,80,2,-0.16603117053441632,-0.7954731306514925,-0.7999659905186893
6,Co-COF-DC-8,CO,air_humid,80,3,-0.16657598837719817,-0.8049747940828212,-0.8062505954684107
7,Co-COF-DC-8,CO,N2_humid,80,0,-0.17116255276707384,-0.739262648927594,-0.7594972819933541
8,Fe-COF-DC-8,H2S,N2_dry,5,0,-0.14576008963806122,-0.45236425137367525,-0.4222357841880036
9,Fe-COF-DC-8,H2S,N2_dry,5,1,-0.14314641755808125,-0.43413603345895374,-0.4018339206961938
10,Fe-COF-DC-8,H2S,N2_dry,5,2,-0.1467628838347937,-0.4305224863307023,-0.39798178301277287
11,Fe-COF-DC-8,H2S,N2_dry,5,3,-0.15132058120037767,-0.4338554850383629,-0.4006719240174125
12,Fe-COF-DC-8,H2S,N2_dry,10,0,-0.13999938500856712,-0.16679516787676288,-0.20350242630208884
13,Fe-COF-DC-8,H2S,N2_dry,10,1,-0.13877625939091584,-0.1403312024987337,-0.17644949389157658
14,Fe-COF-DC-8,H2S,N2_dry,10,2,-0.13683083532956825,-0.11373604628456836,-0.1508127205844789
15,Fe-COF-DC-8,H2S,N2_dry,10,3,-0.1378776267826241,-0.12011483187888258,-0.15396237473593413
16,Fe-COF-DC-8,H2S,N2_dry,20,0,-0.10824584379982992,0.1659597727591299,0.1578381828334944
17,Fe-COF-DC-8,H2S,N2_dry,20,1,-0.10000745564012048,0.22822856800638694,0.21729390784253466
18,Fe-COF-DC-8,H2S,N2_dry,20,2,-0.10134879076532309,0.2281146386166447,0.22059854621575498
19,Fe-COF-DC-8,H2S,N2_dry,20,3,-0.1001548168403272,0.22726951558575714,0.22391656309286154
20,Fe-COF-DC-8,H2S,N2_dry,40,0,-0.06835759419184295,0.4167074365749669,0.39920534606436914
21,Fe-COF-DC-8,H2S,N2_dry,40,1,-0.06823512758613626,0.3870871276610581,0.37482230079613826
22,Fe-COF-DC-8,H2S,N2_dry,40,2,-0.060635888755520506,0.4305690670997404,0.41389852457435333
23,Fe-COF-DC-8,H2S,N2_dry,40,3,-0.06535532898670145,0.41955847579449346,0.40015874650694033
24,Fe-COF-DC-8,H2S,N2_dry,80,0,0.1321435876934666,0.5024637260607336,0.5780831718083279
25,Fe-COF-DC-8,H2S,N2_dry,80,1,0.16722485488850475,0.5700295321253116,0.6476740359549327
26,Fe-COF-DC-8,H2S,N2_dry,80,2,0.14899830520686344,0.5529824186847423,0.6256995352630083
27,Fe-COF-DC-8,H2S,N2_dry,80,3,0.12287652982720146,0.47989573287027043,0.5447099766200246
28,Ni-COF-DC-8,H2S,air_dry,80,0,0.25667896759146663,1.2023012228388572,1.1867907693825064
29,Ni-COF-DC-8,H2S,air_dry,80,1,0.2513250860167302,1.1796319629697127,1.1679170065241251
30,Ni-COF-DC-8,H2S,air_dry,80,2,0.6526440775256895,1.37054591595954,1.5027749891144933
31,Ni-COF-DC-8,H2S,air_humid,80,0,0.2897010720757548,1.3851981249393954,1.3077337061740797
32,Ni-COF-DC-8,H2S,air_humid,80,1,0.2918603439392809,1.3865870045135,1.3088232274964637
33,Ni-COF-DC-8,H2S,air_humid,80,2,0.2733372255220335,1.3878756761456381,1.3071654192226179
34,Ni-COF-DC-8,H2S,N2_dry,5,0,-0.17224054243896755,-0.7913200880222631,-0.8037915104538013
35,Ni-COF-DC-8,H2S,N2_dry,5,1,-0.17224054243896755,-0.7898152922377945,-0.8034366210657684
